screen_name,total,text,video,photo,audio,poll,other,text_mean
muratkumpilov,649,644,22,620,0,0,2,64
olegkhorokhordin,239,234,137,94,0,0,5,213
radiyhabirov,717,716,165,564,0,0,14,9
alexey.tsydenov,424,412,143,239,0,1,4,42
s.a.melikov,379,378,145,142,0,0,12,174
kalimatovmm,361,360,93,164,0,0,1,182
kazbek_kokov,526,489,222,298,0,0,6,54
batu80,585,577,214,410,1,0,47,118
rashidtemrezov,580,571,182,379,0,0,3,106
aparfenchikov,1082,1079,290,814,0,2,57,58
vladimiruiba,591,586,310,276,0,0,4,71
yvzaitsev,551,547,266,259,0,0,3,68
artem_zdunov,754,738,270,515,0,0,0,49
aisennikolaev14,504,483,267,252,0,0,8,3
sergey.meniaylo,478,473,44,396,0,0,10,130
rnm,491,486,81,410,0,0,0,18
vladislavkhovalyg,804,776,185,618,0,0,14,2
a.brechalov,1091,1078,524,540,1,1,37,53
konovalov1917,765,763,67,705,0,0,13,85
ramzan,1581,1567,1438,297,0,0,8,50
olegnikolaev1969,687,678,289,348,0,0,37,139
viktor_tomenko,208,207,12,183,0,0,5,25
osipov__officially,272,266,144,137,0,0,3,116
vvsolodov,671,614,316,274,0,2,87,77
kondratyevvi,546,540,127,361,0,0,22,40
mkotyukov,10,9,6,5,0,0,0,461
mahonindn,494,493,121,374,0,0,9,133
kozhemyako_oleg,467,455,440,19,0,0,4,70
vladimirvladimirov5807,1186,1182,409,772,0,3,33,52
mikhail_degtyarev27,769,736,245,458,0,0,52,44
orlovamur,593,590,195,398,0,0,4,104
a.tsybulskiy,1249,1248,333,947,0,0,43,23
babushkin_iyu,1,0,0,0,0,0,0,0
gladkov_vv,1270,1269,864,413,0,2,20,39
avbogomaz,579,575,163,326,0,0,4,135
aaavdeevvl,530,524,148,290,0,0,25,42
oa_kuvshinnikov,137,136,42,83,3,1,9,124
gusev_36,380,372,129,195,0,3,11,182
voskresenskiy_s,127,126,17,109,0,0,0,170
i_kobzev,1573,1571,1026,531,0,0,58,57
aa_alikhanov,101,90,9,73,0,0,10,11
shapsha,1143,1140,213,943,0,3,31,27
tsivilev42,422,408,124,292,0,2,2,49
aleksandrsokolov43,560,559,97,407,0,0,4,97
sk_sitnikov,621,620,93,527,0,0,3,31
shumkov_vadim,571,564,92,444,0,0,0,70
gubernator46,360,356,50,286,1,3,3,127
drozdenko_a,477,476,135,345,0,0,10,77
ig_artamonov48,221,214,103,84,0,0,4,65
nosovliveru,586,574,123,433,0,1,10,69
andreyvorobiev,579,565,440,135,0,3,48,111
chibis.andrey,675,667,362,311,0,0,16,54
glebnikitin_nn,97,95,45,77,0,0,6,1283
nikitinandrey2017,612,611,298,310,0,1,5,12
andreytravnikov_nso,209,204,130,70,0,0,0,28
vkhotsenko,98,97,37,38,0,0,1,444
dpaslerofficial,426,424,168,274,0,1,9,47
klychkov_andrey_official,539,538,295,177,0,0,2,97
ov_melnichenko,528,505,263,227,0,0,1,44
m.v_007,1202,1183,652,546,0,0,49,0
v.u.golubev,279,278,158,90,0,0,4,116
pv.malkov,512,494,34,302,0,0,0,20
azarov.life,1,0,0,0,0,0,0,0
rbusargin,519,508,199,277,0,1,1,22
limarenko_official,1090,1080,739,315,0,0,27,61
evgenykuyvashev,342,339,61,225,0,0,3,50
anohin67,55,54,18,31,0,0,0,844
mbegorov,941,913,141,559,8,0,34,37
mazur_70,494,492,219,263,0,0,4,90
dumin.live,8,6,6,0,0,0,0,135
aleksandr__moor,424,418,168,273,0,0,0,33
russkihay,608,603,130,475,0,0,6,11
alexeytexler.official,177,176,34,148,0,1,3,313
evraevmikhail,1,0,0,0,0,0,0,0
mossobyanin,998,964,308,855,0,0,60,79
